TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 09:36:01,blue_tit_observed.csv,2.018248696841982700232122472,1.167,0.896,5.646,0.18,0.289,0.374,2.38,11.73,14.963,19.019,10.907,5.050,3.377,6.724,0.114,8.34,2.362,1.707,3.016,1.115
2026-05-06 09:36:01,blue_tit_observed.csv,1.262047310992669576151439361,1.063,2.836,4.948,0.18,0.493,0.15,4.34,10.98,8.814,13.704,3.923,8.811,4.269,13.353,0.17,7.72,6.333,9.441,3.225,1.583
2026-05-06 09:36:02,blue_tit_observed.csv,1.833027549442319099415275031,1.142,2.758,0.736,0.295,0.171,0.231,2.83,10.63,8.422,6.929,9.916,11.230,11.693,10.766,0.054,7.0,7.528,8.243,6.813,0.907
2026-05-06 09:36:02,blue_tit_observed.csv,1.701272883276999048312271686,0.984,3.486,5.498,0.293,0.631,0.126,2.66,11.88,10.430,13.406,7.453,11.478,10.625,12.33,0.133,8.16,7.617,6.654,8.58,0.996
2026-05-06 09:36:02,blue_tit_observed.csv,0.7636318316472848430490374727,1.1,0.786,4.987,0.552,0.475,0.042,4.01,1.06,10.019,7.888,12.15,7.616,11.797,3.435,0.148,7.83,12.841,13.804,11.878,1.677
2026-05-06 09:36:03,blue_tit_observed.csv,1.782860544004807882006192079,0.89,0.806,0.547,0.26,0.287,0.051,3.88,11.59,9.738,4.367,15.108,2.130,2.262,1.999,0.068,8.08,1.778,1.634,1.922,0.849
2026-05-06 09:36:03,blue_tit_observed.csv,1.741509257835684983586310941,0.859,3.755,3.996,0.31,0.453,0.203,1.9,10.71,11.220,8.55,13.889,6.062,10.721,1.404,0.112,5.8,3.098,4.807,1.389,1.679
2026-05-06 09:36:03,blue_tit_observed.csv,1.947571612754801990709848905,1.113,2.244,2.209,0.203,0.082,0.024,1.79,10.93,12.684,18.199,7.169,1.782,1.678,1.887,0.049,6.2,1.588,1.564,1.613,1.733
2026-05-06 09:36:03,blue_tit_observed.csv,0.9905312712602848885553902355,1.123,2.153,0.735,0.14,0.133,0.321,2.24,11.18,8.305,9.934,6.676,13.511,13.672,13.35,0.206,6.85,9.766,9.621,9.912,1.324
2026-05-06 09:36:04,blue_tit_observed.csv,1.340396117318555748768493993,1.059,3.519,1.322,0.05,0.47,0.447,2.2,11.49,14.655,9.814,19.496,4.999,8.598,1.4,0.15,6.97,7.840,4.149,11.53,1.632
2026-05-06 09:36:04,blue_tit_observed.csv,2.735611007993026637316827415,0.935,2.26,3.075,0.085,0.244,0.16,4.15,1.01,8.910,4.552,13.268,7.738,2.99,12.485,0.142,5.58,7.468,9.677,5.258,0.823
2026-05-06 09:36:04,blue_tit_observed.csv,1.903067069672416743360835901,0.713,3.753,4.839,0.175,0.307,0.368,4.4,10.85,13.922,13.361,14.482,8.488,11.563,5.413,0.129,6.66,12.403,10.806,14.000,1.036
2026-05-06 09:36:05,blue_tit_observed.csv,1.702145252859923560215133772,0.991,3.676,3.063,0.111,0.003,0.413,4.45,11.54,9.780,10.857,8.702,13.800,13.839,13.761,0.222,6.81,8.738,3.485,13.99,1.595
2026-05-06 09:36:05,blue_tit_observed.csv,1.744777076421093814371079833,0.995,1.139,4.501,0.31,0.092,0.398,2.63,1.36,15.147,17.237,13.057,13.540,13.079,14.000,0.161,6.06,5.902,7.122,4.683,0.913
2026-05-06 09:36:05,blue_tit_observed.csv,0.8372032390292746454210215318,0.809,3.413,4.882,0.378,0.499,0.349,2.47,1.14,11.974,6.486,17.461,4.850,8.082,1.619,0.184,5.51,12.226,10.453,14.000,1.247
2026-05-06 09:36:05,blue_tit_observed.csv,2.057663914406417288024847256,1.202,3.57,2.226,0.106,0.603,0.303,1.78,1.02,11.117,3.717,18.517,12.771,11.586,13.956,0.012,7.13,1.670,2.463,0.878,0.817
2026-05-06 09:36:06,blue_tit_observed.csv,0.7254775529504368281655457940,0.658,3.939,0.838,0.339,0.196,0.237,1.93,11.26,8.686,11.144,6.229,6.497,3.993,9.001,0.064,6.8,3.753,7.093,0.413,1.124
2026-05-06 09:36:06,blue_tit_observed.csv,1.228734753102940838937606353,0.879,1.371,0.747,0.45,0.186,0.163,3.06,1.32,12.671,13.537,11.805,5.923,5.150,6.696,0.001,7.48,4.636,2.684,6.587,1.267
2026-05-06 09:36:06,blue_tit_observed.csv,1.003892997834548885367795866,1.082,0.285,1.772,0.193,0.731,0.096,2.4,11.4,1.356,0.972,1.741,8.870,5.66,12.081,0.051,7.42,1.595,1.392,1.798,1.369
2026-05-06 09:36:07,blue_tit_observed.csv,3.621254275537007758830561593,0.935,2.301,5.511,0.098,0.029,0.314,4.46,11.72,6.546,0.727,12.366,13.591,13.218,13.964,0.082,5.74,12.100,10.69,13.511,0.834
2026-05-06 09:36:07,blue_tit_observed.csv,0.7295416026369607756687382822,1.186,3.575,5.142,0.511,0.469,0.164,3.74,11.57,7.066,10.304,3.829,13.370,13.933,12.808,0.182,7.28,8.960,4.201,13.719,1.612
2026-05-06 09:36:07,blue_tit_observed.csv,1.144795824196357674430763932,0.644,1.865,0.889,0.559,0.45,0.439,2.95,1.03,6.126,6.396,5.857,6.446,6.081,6.810,0.244,6.68,4.715,3.62,5.81,0.818
2026-05-06 09:36:08,blue_tit_observed.csv,2.313521930128046538180710986,0.722,1.639,5.06,0.387,0.476,0.387,3.0,11.13,16.714,17.061,16.366,8.804,9.332,8.276,0.006,8.38,5.781,9.865,1.697,1.166
2026-05-06 09:36:08,blue_tit_observed.csv,1.118405065233244102774616113,0.969,2.243,1.188,0.504,0.704,0.417,2.83,11.45,6.998,6.668,7.327,8.238,8.998,7.477,0.18,5.7,1.278,1.965,0.592,1.737
2026-05-06 09:36:08,blue_tit_observed.csv,0.5710220733425319648787064092,0.653,0.78,3.229,0.397,0.406,0.206,3.83,10.74,9.690,15.665,3.716,4.096,3.764,4.427,0.128,7.23,4.422,5.774,3.069,1.381
2026-05-06 09:36:08,blue_tit_observed.csv,3.126891804960604246404598860,0.67,3.412,4.703,0.146,0.022,0.168,1.72,10.78,16.398,13.279,19.518,6.529,1.656,11.402,0.038,7.99,2.175,0.829,3.521,0.947
2026-05-06 09:36:09,blue_tit_observed.csv,1.391001691515886547758688653,0.921,3.173,4.456,0.192,0.719,0.36,2.47,11.21,13.145,7.298,18.992,5.313,5.168,5.458,0.063,6.06,8.950,6.509,11.392,1.762
2026-05-06 09:36:09,blue_tit_observed.csv,0.3873431804186623080939477035,0.677,2.167,4.529,0.469,0.712,0.36,3.79,1.35,11.653,11.665,11.641,8.961,6.966,10.956,0.243,6.15,6.858,4.506,9.211,1.5
2026-05-06 09:36:09,blue_tit_observed.csv,0.9096745804247322016770394786,0.902,2.727,5.976,0.063,0.693,0.053,2.52,10.64,4.891,7.219,2.563,3.414,0.488,6.339,0.075,7.99,8.556,8.181,8.932,1.721
2026-05-06 09:36:10,blue_tit_observed.csv,1.354759732797497106810204190,0.915,3.058,3.093,0.173,0.618,0.22,1.75,10.86,11.197,4.873,17.521,8.560,8.906,8.214,0.053,6.38,6.619,2.212,11.026,1.18
2026-05-06 09:36:10,blue_tit_observed.csv,1.059126045940422016685457697,1.094,1.698,5.356,0.416,0.002,0.428,3.36,1.47,13.926,18.284,9.567,8.284,11.602,4.965,0.121,8.2,10.459,8.013,12.905,1.479
2026-05-06 09:36:10,blue_tit_observed.csv,3.210007131042840175579606296,1.06,3.329,2.493,0.218,0.18,0.02,2.02,11.71,14.522,9.515,19.529,12.420,10.839,14.000,0.014,6.15,11.668,13.413,9.922,0.926
2026-05-06 09:36:11,blue_tit_observed.csv,1.405781777284943736689506553,0.696,1.322,4.221,0.505,0.411,0.174,2.23,11.69,11.604,8.885,14.324,8.634,3.87,13.398,0.013,7.58,3.242,4.71,1.775,1.097
2026-05-06 09:36:11,blue_tit_observed.csv,1.063929510023040883410021588,1.036,1.001,4.175,0.441,0.459,0.007,3.56,10.87,16.604,18.452,14.756,7.736,5.812,9.659,0.161,7.47,7.358,13.477,1.24,1.699
2026-05-06 09:36:11,blue_tit_observed.csv,0.4894092600188645682265665378,0.872,3.478,4.068,0.283,0.559,0.21,3.27,11.87,12.178,8.529,15.827,13.712,13.423,14.000,0.223,6.26,5.046,2.903,7.189,1.566
2026-05-06 09:36:11,blue_tit_observed.csv,2.993502111323094649991305322,1.085,1.88,4.846,0.158,0.036,0.024,3.87,1.2,3.374,5.164,1.585,2.278,2.322,2.235,0.149,5.88,7.516,2.996,12.037,1.111
2026-05-06 09:36:12,blue_tit_observed.csv,2.547243408413668361670577172,0.959,2.088,5.004,0.13,0.196,0.28,3.11,11.47,10.454,9.33,11.579,7.944,5.309,10.58,0.183,8.46,3.209,2.9,3.518,0.968
2026-05-06 09:36:12,blue_tit_observed.csv,1.284647935209862137559540104,0.839,2.886,4.441,0.491,0.531,0.311,4.21,1.19,3.238,2.870,3.607,7.174,9.931,4.418,0.085,6.46,7.987,6.533,9.441,1.743
2026-05-06 09:36:12,blue_tit_observed.csv,0.9167642703220354042017158046,0.926,3.793,5.838,0.557,0.401,0.156,4.01,11.22,8.774,7.873,9.676,4.706,4.108,5.305,0.04,7.33,12.948,11.895,14.000,1.655
2026-05-06 09:36:13,blue_tit_observed.csv,1.616362168276178233763621328,1.23,1.756,2.304,0.138,0.494,0.298,4.17,1.25,6.736,11.099,2.374,7.123,10.091,4.155,0.102,7.75,9.002,4.56,13.443,1.095
2026-05-06 09:36:13,blue_tit_observed.csv,1.697072540547419711251898814,0.92,0.457,3.887,0.341,0.269,0.094,3.71,1.32,8.466,10.149,6.784,6.159,3.687,8.631,0.031,7.16,11.612,11.533,11.692,1.528
2026-05-06 09:36:13,blue_tit_observed.csv,1.640018491278163987572591763,1.209,1.798,3.628,0.203,0.697,0.324,2.21,10.51,9.053,3.625,14.481,8.002,2.773,13.23,0.04,7.21,4.640,5.237,4.042,0.943
2026-05-06 09:36:13,blue_tit_observed.csv,1.000570149028724548929407608,0.69,3.996,1.935,0.485,0.716,0.389,3.8,11.95,10.410,6.92,13.9,9.108,8.774,9.442,0.232,8.04,8.544,8.651,8.438,1.201
2026-05-06 09:36:14,blue_tit_observed.csv,0.9144490205750232968502267760,0.833,1.244,4.707,0.206,0.463,0.439,3.74,11.83,5.155,5.045,5.265,10.053,7.877,12.229,0.14,5.71,8.457,9.136,7.778,1.299
2026-05-06 09:36:14,blue_tit_observed.csv,1.119501633641029703842216409,0.71,3.479,2.297,0.225,0.555,0.325,2.24,10.92,6.386,6.856,5.917,8.224,3.259,13.19,0.073,6.15,6.684,8.563,4.805,0.813
2026-05-06 09:36:14,blue_tit_observed.csv,1.038923027183666637026554263,0.702,0.43,2.588,0.406,0.693,0.114,1.96,11.29,3.837,2.149,5.525,3.020,5.076,0.964,0.022,8.46,9.532,6.349,12.714,1.295
2026-05-06 09:36:15,blue_tit_observed.csv,1.642803966344459667285430997,0.953,3.993,2.079,0.484,0.626,0.112,2.1,11.25,7.693,4.137,11.249,7.665,13.024,2.306,0.001,6.81,4.224,2.065,6.384,1.472
2026-05-06 09:36:15,blue_tit_observed.csv,1.428595748076885655336421590,0.958,3.836,2.852,0.396,0.734,0.423,1.57,1.44,15.010,13.395,16.626,11.930,12.631,11.23,0.132,6.29,7.822,6.794,8.849,1.24
2026-05-06 09:36:15,blue_tit_observed.csv,0.5662379861754732250188440887,1.112,1.211,5.262,0.513,0.336,0.141,2.74,11.94,13.518,17.531,9.504,3.118,2.97,3.265,0.227,8.2,6.331,7.89,4.772,1.471
2026-05-06 09:36:16,blue_tit_observed.csv,0.8341480879168288373798693672,1.091,2.169,0.694,0.555,0.081,0.287,3.17,11.56,6.332,6.751,5.914,3.706,2.999,4.412,0.099,5.87,10.978,13.601,8.354,1.319
2026-05-06 09:36:16,blue_tit_observed.csv,1.328994377417498804393301721,0.833,1.011,2.724,0.213,0.563,0.141,2.83,1.2,11.018,15.815,6.221,9.834,13.503,6.165,0.123,7.51,3.063,3.694,2.432,1.097
2026-05-06 09:36:16,blue_tit_observed.csv,2.248835846990230286944296561,0.713,2.89,3.322,0.185,0.537,0.319,1.7,11.8,13.719,12.769,14.669,3.195,5.893,0.497,0.021,6.88,7.048,8.489,5.606,1.456
2026-05-06 09:36:16,blue_tit_observed.csv,1.428830946307801657565004546,1.205,1.055,4.325,0.465,0.395,0.283,3.35,11.51,8.299,14.913,1.685,10.368,9.475,11.262,0.171,8.43,8.612,6.626,10.598,1.183
2026-05-06 09:36:17,blue_tit_observed.csv,1.414339181188731780135099178,0.902,2.052,1.786,0.151,0.183,0.293,3.4,1.41,10.888,12.399,9.376,10.258,7.006,13.51,0.138,5.97,5.920,2.64,9.2,1.055
2026-05-06 09:36:17,blue_tit_observed.csv,0.7007537303876080369228183631,0.824,1.789,1.253,0.512,0.264,0.014,2.81,10.65,10.085,13.747,6.423,1.612,1.314,1.909,0.093,7.49,10.059,6.564,13.554,1.781
2026-05-06 09:36:17,blue_tit_observed.csv,1.707189048003026902250442162,0.707,2.761,4.372,0.364,0.021,0.406,3.83,1.02,11.703,14.204,9.202,5.090,4.797,5.383,0.231,6.59,3.916,5.159,2.673,1.458
2026-05-06 09:36:18,blue_tit_observed.csv,0.4552172501825423800029267992,1.003,3.405,3.993,0.567,0.38,0.14,2.16,11.21,13.852,19.968,7.735,7.158,12.092,2.223,0.149,6.72,12.686,13.251,12.121,1.468
2026-05-06 09:36:18,blue_tit_observed.csv,1.993392406350433928779747324,0.751,0.995,1.49,0.354,0.024,0.345,2.36,10.53,8.637,10.749,6.525,2.628,3.186,2.07,0.016,5.74,7.938,10.161,5.715,0.871
2026-05-06 09:36:18,blue_tit_observed.csv,0.9649408257251414186614092007,0.922,1.449,1.687,0.385,0.464,0.147,1.78,11.42,11.994,9.869,14.119,12.516,12.696,12.335,0.191,7.02,5.637,1.169,10.105,1.207
2026-05-06 09:36:19,blue_tit_observed.csv,1.073267936909900507634865236,0.956,1.901,4.147,0.478,0.282,0.191,4.47,1.3,15.745,14.36,17.13,4.843,9.165,0.521,0.045,6.62,6.180,10.155,2.204,1.306
2026-05-06 09:36:19,blue_tit_observed.csv,0.5620148935210582484982014954,1.206,3.806,1.742,0.438,0.59,0.158,4.45,10.76,17.805,16.498,19.112,8.740,7.609,9.870,0.194,6.4,6.086,7.069,5.103,1.644
2026-05-06 09:36:19,blue_tit_observed.csv,0.7860206114568146169486296530,0.806,0.274,4.685,0.21,0.164,0.25,4.33,1.06,11.196,5.695,16.697,7.052,2.512,11.591,0.218,7.28,8.894,12.364,5.425,1.566
2026-05-06 09:36:19,blue_tit_observed.csv,0.7970569817007100453320996883,0.895,3.33,0.531,0.136,0.29,0.286,3.75,10.73,8.147,13.977,2.317,7.311,9.425,5.197,0.245,6.63,13.362,14.000,12.724,1.193
2026-05-06 09:36:20,blue_tit_observed.csv,0.4994847991053026428627848592,0.867,1.398,3.653,0.362,0.218,0.348,2.59,11.54,8.667,9.143,8.191,12.965,11.930,14.000,0.204,7.57,8.067,7.848,8.286,1.674
2026-05-06 09:36:20,blue_tit_observed.csv,0.6871443740679788341890414666,0.694,0.902,5.436,0.218,0.558,0.336,3.02,11.53,8.315,8.929,7.701,8.104,13.671,2.536,0.119,7.34,6.030,1.638,10.423,1.49
2026-05-06 09:36:20,blue_tit_observed.csv,0.8403595502613145181593814015,1.061,2.28,2.773,0.156,0.072,0.412,4.01,11.78,18.478,18.324,18.632,5.916,1.017,10.816,0.146,7.85,9.842,10.907,8.777,1.549
2026-05-06 09:36:21,blue_tit_observed.csv,3.051268135521247513372679964,1.183,0.462,5.035,0.248,0.097,0.034,4.15,11.88,4.774,7.943,1.605,11.177,10.974,11.38,0.233,7.44,7.192,4.851,9.533,0.918
2026-05-06 09:36:21,blue_tit_observed.csv,0.5862409648705230487229407189,1.201,1.735,1.406,0.528,0.377,0.115,3.2,10.89,4.766,4.875,4.658,5.232,6.721,3.743,0.187,7.38,10.666,12.516,8.817,1.312
2026-05-06 09:36:21,blue_tit_observed.csv,1.624860386418061621966456418,0.782,3.018,2.594,0.175,0.279,0.222,2.01,11.56,14.327,15.328,13.326,7.916,11.052,4.779,0.222,8.0,9.179,6.338,12.02,0.85
2026-05-06 09:36:22,blue_tit_observed.csv,1.532943216370388163937069090,0.882,1.818,4.44,0.463,0.715,0.246,2.51,11.03,16.502,15.402,17.603,12.036,10.505,13.567,0.031,6.32,6.956,2.197,11.714,1.494
